,Q4.2025 | TSP Core Product Pool Campaign,,7523667964459190071,,,,,,6703,,,"Updated Time:
2025/12/02","6,703",758,,"6,674","4,202",,,
Date,Product Id,Category,First Category,Second Category,Product Name,detail_url,Shop Name,Shop Code,Open Commission,Product Tag,SPS Score>=4,Eligible for Q4 Incentive,Eligible for TAP BFCM Challenge,Q4 Core Product Pool Campaign Approval Status,Other campaign,Products Approved in Other Campaigns,Eligible for TAP Commission Reward,TAP total Commission %,Coupons Subsidy,Bundle Available only on TTS
10/14/2025,1731454498724942100,POP,Kitchenware,POP Local Shipping,"3-Pack Black Triangle Shower Caddy, 3-Tier Corner Shelves Shower Storage Rack, Drill Free Wall MountShower Organizer, 40lbs Load Capacity BathroomAccessories Towels Hook Toiletries",https://shop.tiktok.com/view/product/1731454498724942100?region=US&locale=en,jiaxiaoshangmao shop,CNUSCBL2ELSE,10%,Core,No,No,No,No,1731454498724942100,Q4.25 | Core Product Opportunity,Yes,6%,No,
10/14/2025,1731832872560399295,POP,Home Supplies,POP Local Shipping,"Drill-free Telescopic Tension Rod for hanging Clothes, Adjustable Nonslip Clothing Drying Rod, Stainless Steel Curtain Hanging Rack, Various sizes, easy to install. for Bathroom, Window, Closet, Room Divider",https://shop.tiktok.com/view/product/1731832872560399295?region=US&locale=en,kigneoow,USLCUXEEA3,10%,Other,No,No,No,Yes,1731832872560399295,Q4.25 | TSP Core Product Pool,No,No,No,
10/14/2025,1729606769780232427,L2L - Beauty,Beauty & Personal Care,L2L - Skincare,[medicube] Affordable Glass Glow Skincare Set | Includes 8 TOP-SELLING products for Gentle Skin Renewal,https://shop.tiktok.com/view/product/1729606769780232427?region=US&locale=en,medicube US Store,USLC9GE2Q2,15%,Core,Yes,Yes,No,Yes,#N/A,Q4.25 | TSP Core Product Pool,No,No,Yes,X
10/14/2025,1731035728287929338,POP,Phones & Electronics,POP Local Shipping,"5000mAh Magnetic Power Bank, Wireless Portable Charger, Fast Charging MagSafe Battery Pack for iPhone 16/15/14/13/12/Plus/Pro Max, Compact Device",https://shop.tiktok.com/view/product/1731035728287929338?region=US&locale=en,XMWUS,CNUSCB67EL7W,10%,Other,Yes,No,Yes,Yes,1731035728287929338,Q4.25 | TSP Core Product Pool,Yes,5%,Yes,
10/14/2025,1729734769623929788,L2L - Beauty,Beauty & Personal Care,L2L - Cosmetics,tarte colored clay CC undereye corrector,https://shop.tiktok.com/view/product/1729734769623929788?region=US&locale=en,Tarte Cosmetics,USLCANELK6,15%,Core,Yes,Yes,Yes,No,1729734769623929788,Q4.25 | Core Product Opportunity,Yes,6%,No,
10/14/2025,1731227895274115130,POP,Womenswear & Underwear,POP Local Shipping,OQQ Women's Casual Pants - High-waisted Loose-Fitting Casual Pants - Comfortable and Elastic Loose Pants with Stretchy Material - Straight Leg Hem,https://shop.tiktok.com/view/product/1731227895274115130?region=US&locale=en,O QQ,USLCREEL9T,8%,Core,Yes,Yes,No,Yes,1731227895274115130,Q4.25 | TSP Core Product Pool,No,No,Yes,
10/14/2025,1731494669923161022,L2L - Fashion,Shoes,"L2L - Sports, Outdoors & Shoes",Crocs Adult Classic Unfurgettable Clogs,https://shop.tiktok.com/view/product/1731494669923161022?region=US&locale=en,Crocs,USLCA7EX9C,10%,Core,Yes,Yes,No,No,1731494669923161022,Q4.25 | Core Product Opportunity,Yes,6%,Yes,
10/14/2025,1729413266549936259,L2L - Health,Health,L2L - Health Growth Accounts,"Neuro Energy Caffeine Gum/Mints for Energy & Focus - Sugar-Free with L theanine, Caffeine, Vitamin B12 & Vitamin B6 - Peppermint Flavor",https://shop.tiktok.com/view/product/1729413266549936259?region=US&locale=en,Neuro Gum,USLCYXELXR,15%,Core,Yes,Yes,Yes,No,#N/A,Q3.25 | TSP Core Product Pool,Yes,5%,Yes,
10/14/2025,1731485102485836453,Full-Service,Home Supplies,Full-Service,"Elegant Metal Christian Heart & Cross Wall Art, 15.74 Inch Praying Hands Design, Indoor Outdoor Iron Sculpture Decor for Living Room Garden Office Farmhouse",https://shop.tiktok.com/view/product/1731485102485836453?region=US&locale=en,Hperpetual,CNUSCBK2ELC9,8%,Other,No,No,No,No,#N/A,GS official product pool,No,No,No,
10/14/2025,1729404876674077452,"L2L - Grocery, Electronics, Books & Hardlines",Food & Beverages,L2L - Food,Remineralizing Gum Oral Care Product Oral Brightening,https://shop.tiktok.com/view/product/1729404876674077452?region=US&locale=en,Nathan and Sons,USLCF2EWE6,17%,Core,Yes,Yes,Yes,No,#N/A,Q3.25 | TSP Core Product Pool,No,No,Yes,
10/14/2025,1730953258849112119,Full-Service,Phones & Electronics,Full-Service,"X9 Handheld Game Console, Rechargeable Portable Game Console with Built-in 10 Emulator Games, Handheld Wireless Gaming Console for Home & Travel, Protective",https://shop.tiktok.com/view/product/1730953258849112119?region=US&locale=en,Time and Space Epoch Shop,CNUSCBFLELT6,8%,Other,No,No,No,No,#N/A,GS official product pool,No,No,No,
10/14/2025,1731333050791203051,L2L - Beauty,Beauty & Personal Care,L2L - Skincare,[NEW] Affordable Glow in a WEEK Set | Includes 8 NEW TOP-SELLING products | Achieve Glass Glow Skin IN 7 DAYS with Korean Skincare,https://shop.tiktok.com/view/product/1731333050791203051?region=US&locale=en,medicube US Store,USLC9GE2Q2,15%,Core,Yes,Yes,No,Yes,#N/A,Q4.25 | TSP Core Product Pool,No,No,Yes,X
10/14/2025,1729992615540134195,POP,Household Appliances,POP Local Shipping,"Dr.Flash Garment Steamer for Clothes, Portable Travel Clothing Steamer Iron, 7 Mode with LCD Display, 5s Fast Heating, 90° Swivel Handle, New Year Gift",https://shop.tiktok.com/view/product/1729992615540134195?region=US&locale=en,Dr.Flash shop,CNUSCBSNELX9,10%,Other,Yes,No,Yes,Yes,#N/A,Q4.25 | TSP Core Product Pool,No,No,Yes,
